Конец_ремонта,Квитанция,Сумма,Примечание
01.11.22,8943,500,
01.11.22,8958,400,
01.11.22,8965,500,
01.11.22,8968,100,
02.11.22,8952,500,
02.11.22,8967,500,
02.11.22,8974,500,
02.11.22,8972,520,карта
02.11.22,8973,710,картой
03.11.22,8959,300,
03.11.22,8962,3300,
03.11.22,8963,100,
03.11.22,8976,500,
03.11.22,8980,500,
03.11.22,8975,500,картой
03.11.22,8977,3700,квитанция
03.11.22,8964,2800,на вайбер
04.11.22,8949,600,
04.11.22,8956,3600,
04.11.22,8986,500,
04.11.22,8982,400,pass: вип
05.11.22,8950,300,
05.11.22,8992,400,
05.11.22,8991,500,карта
07.11.22,8918,2950,
07.11.22,8983,1210,
07.11.22,8984,50,
07.11.22,9001,1000,
08.11.22,8978,1900,
08.11.22,8987,300,
08.11.22,8989,400,
08.11.22,8998,500,
08.11.22,9007,2000,БН
08.11.22,8990,300,картой
08.11.22,8993,50,картой
08.11.22,9003,500,картой
09.11.22,8985,2150,
09.11.22,9009,500,
09.11.22,9010,500,
09.11.22,9012,600,
09.11.22,9002,800,карта
09.11.22,9006,500,карта
09.11.22,8999,1200,картой
